Training Initiated .... 
Thu Dec 9 21:48:47 IST 2021
Training Halted/Crashed at .... 
Thu Dec 9 21:48:48 IST 2021
Training Initiated .... 
Thu Dec 9 21:55:57 IST 2021
space_443
Training Halted/Crashed at .... 
Thu Dec 9 21:55:59 IST 2021
Training Initiated .... 
Thu Dec 9 21:59:02 IST 2021
space_443
Learning Rate: 0.001, Momentum: 0.9, Decay: 0.0005
Training Halted/Crashed at .... 
Thu Dec 9 21:59:04 IST 2021
Training Initiated .... 
Thu Dec 9 22:05:20 IST 2021
space_443
Learning Rate: 0.001, Momentum: 0.9, Decay: 0.0005
Training Halted/Crashed at .... 
Thu Dec 9 22:05:21 IST 2021
Training Initiated .... 
Thu Dec 9 22:11:06 IST 2021
space_443
Learning Rate: 0.001, Momentum: 0.9, Decay: 0.0005
Resizing
512
Loaded: 0.245590 seconds
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.510567, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.518217, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.119324, Class: 0.528673, Obj: 0.208409, No Obj: 0.440941, .5R: 0.021341, .75R: 0.000000,  count: 328
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.508770, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.517542, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.083891, Class: 0.474585, Obj: 0.250135, No Obj: 0.453289, .5R: 0.012658, .75R: 0.000000,  count: 237
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.505704, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.515269, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.136837, Class: 0.504573, Obj: 0.322419, No Obj: 0.443874, .5R: 0.025000, .75R: 0.000000,  count: 240
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.509886, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.516342, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.117176, Class: 0.495600, Obj: 0.328680, No Obj: 0.438798, .
Training Initiated .... 
Thu Dec 9 23:43:25 IST 2021
space_443
Learning Rate: 0.001, Momentum: 0.9, Decay: 0.0005
Resizing
448
Loaded: 0.026798 seconds
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.489360, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.512193, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.136094, Class: 0.467276, Obj: 0.299755, No Obj: 0.443624, .5R: 0.021390, .75R: 0.000000,  count: 187
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.491744, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.512930, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.097108, Class: 0.473423, Obj: 0.263910, No Obj: 0.440927, .5R: 0.004484, .75R: 0.000000,  count: 223
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.488568, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.362855, Class: 0.224369, Obj: 0.687506, No Obj: 0.515117, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.097211, Class: 0.503495, Obj: 0.295571, No Obj: 0.435303, .5R: 0.009317, .75R: 0.000000,  count: 322
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.486714, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.510599, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.081086, Class: 0.474200, Obj: 0.188063, No Obj: 0.454898, .5R: 0.017341, .75R: 0.000000,  count: 173
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.490179, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.512674, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.159382, Class: 0.521153, Obj: 0.279413, No Obj: 0.442693, .5R: 0.040373, .75R: 0.000000,  count: 322
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.487462, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.511944, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.043523, Class: 0.564422, Obj: 0.191091, No Obj: 0.452193, .5R: 0.000000, .75R: 0.000000,  count: 233
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.489720, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.516085, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.156982, Class: 0.495872, Obj: 0.318290, No Obj: 0.434855, .5R: 0.028213, .75R: 0.000000,  count: 319
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.490153, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.512908, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.078070, Class: 0.531908, Obj: 0.219607, No Obj: 0.454142, .5R: 0.016736, .75R: 0.000000,  count: 239
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.492336, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.511148, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.111338, Class: 0.507080, Obj: 0.232321, No Obj: 0.445118, .5R: 0.018265, .75R: 0.000000,  count: 219
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.488718, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.236428, Class: 0.257296, Obj: 0.482610, No Obj: 0.512894, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.141520, Class: 0.483477, Obj: 0.312025, No Obj: 0.438267, .5R: 0.026786, .75R: 0.000000,  count: 224
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.491851, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.512576, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.124498, Class: 0.468625, Obj: 0.255870, No Obj: 0.439198, .5R: 0.019305, .75R: 0.003861,  count: 259
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.491152, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.511943, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.107279, Class: 0.506872, Obj: 0.234605, No Obj: 0.453593, .5R: 0.016304, .75R: 0.005435,  count: 184
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.491111, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.512635, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.118089, Class: 0.467558, Obj: 0.231544, No Obj: 0.433998, .5R: 0.021352, .75R: 0.003559,  count: 281
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.490911, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.512750, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.080697, Class: 0.479167, Obj: 0.225649, No Obj: 0.448201, .5R: 0.017045, .75R: 0.000000,  count: 176
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.487194, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.509995, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.118185, Class: 0.503712, Obj: 0.252346, No Obj: 0.459351, .5R: 0.026455, .75R: 0.000000,  count: 189
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.490127, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.510580, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.123585, Class: 0.510171, Obj: 0.201522, No Obj: 0.455599, .5R: 0.015228, .75R: 0.000000,  count: 197
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.490515, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.512700, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.117602, Class: 0.529558, Obj: 0.220571, No Obj: 0.447463, .5R: 0.031746, .75R: 0.003968,  count: 252
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.489015, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.278313, Class: 0.457127, Obj: 0.540500, No Obj: 0.516344, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 106 Avg IOU: 0.198270, Class: 0.523760, Obj: 0.322193, No Obj: 0.426452, .5R: 0.067308, .75R: 0.003205,  count: 312
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.490161, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.509260, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.073387, Class: 0.533594, Obj: 0.214500, No Obj: 0.447418, .5R: 0.006803, .75R: 0.000000,  count: 294
